date,fpo,produce,temperature,humidity,harvest_volume_kg,market_price,storage_days,storage_capacity_kg,storage_demand_kg,utilization_pct,spoilage_risk,future_market_price,storage_cost_per_kg,potential_revenue,decision
2025-01-07 02:00:00,FPO_Jaipur,Onion,15.0,64.86,388,23.75,3,1500,308.92,20.59,LOW,22.17,4.13,8603.36,SELL NOW
2025-01-07 03:00:00,FPO_Jaipur,Tomato,25.4,75.58,476,29.85,8,1000,618.48,61.85,LOW,35.27,1.5,16786.58,STORE
2025-01-07 04:00:00,FPO_Ahmedabad,Potato,25.26,51.8,1960,23.0,11,500,500.0,100.0,LOW,22.7,3.2,44501.09,SELL NOW
2025-01-07 05:00:00,FPO_Surat,Mango,36.95,55.15,302,66.56,7,1000,285.29,28.53,LOW,68.74,4.42,20758.77,SELL NOW
2025-01-07 06:00:00,FPO_Jaipur,Tomato,30.36,72.51,306,30.36,10,1500,473.06,31.54,LOW,34.15,3.37,10450.25,STORE
2025-01-07 07:00:00,FPO_Jaipur,Apple,30.97,39.53,1798,102.38,12,2000,1528.78,76.44,LOW,111.98,3.42,201337.52,SELL NOW
2025-01-07 08:00:00,FPO_Ahmedabad,Cabbage,30.65,64.49,956,26.0,12,2500,814.0,32.56,LOW,21.63,3.07,20675.44,SELL NOW
2025-01-07 09:00:00,FPO_Jaipur,Potato,28.27,53.03,372,18.15,4,2500,156.83,6.27,LOW,29.65,2.88,11029.69,STORE
2025-01-07 10:00:00,FPO_Lucknow,Cabbage,37.19,49.88,1198,28.36,9,1500,983.95,65.6,LOW,21.77,1.6,26083.56,SELL NOW
2025-01-07 11:00:00,FPO_Nashik,Cabbage,15.0,40.42,1554,24.87,6,1000,1000.0,100.0,LOW,29.51,3.68,45860.37,STORE
2025-01-07 12:00:00,FPO_Karnal,Tomato,28.88,76.58,921,23.24,3,500,487.67,97.53,MEDIUM,26.54,4.18,24441.44,STORE
2025-01-07 13:00:00,FPO_Nashik,Potato,34.78,67.38,1414,18.7,7,1000,1000.0,100.0,MEDIUM,21.05,4.27,29762.07,STORE
2025-01-07 14:00:00,FPO_Ahmedabad,Potato,16.65,54.92,1893,16.32,6,1000,1000.0,100.0,LOW,19.5,3.69,36914.62,STORE
2025-01-07 15:00:00,FPO_Nagpur,Onion,33.03,62.53,1030,35.3,8,500,500.0,100.0,MEDIUM,40.91,2.69,42134.77,STORE
2025-01-07 16:00:00,FPO_Karnal,Cabbage,23.43,48.61,424,34.89,5,2500,418.51,16.74,LOW,40.2,1.58,17045.86,STORE
2025-01-07 17:00:00,FPO_Ahmedabad,Potato,28.66,56.96,1907,27.78,6,1000,1000.0,100.0,LOW,29.88,4.64,56977.62,SELL NOW
2025-01-07 18:00:00,FPO_Surat,Onion,23.32,62.02,1546,31.88,1,2000,1109.85,55.49,LOW,38.4,3.0,59362.51,STORE
2025-01-07 19:00:00,FPO_Nagpur,Mango,33.75,65.96,1731,59.67,8,2000,1248.36,62.42,MEDIUM,61.52,3.6,106499.32,SELL NOW
2025-01-07 20:00:00,FPO_Nashik,Onion,26.27,70.88,1771,28.55,1,1500,1153.04,76.87,LOW,32.01,2.18,56694.31,STORE
2025-01-07 21:00:00,FPO_Ahmedabad,Apple,33.07,37.91,333,95.07,3,1500,159.6,10.64,LOW,103.86,2.0,34584.53,SELL NOW
2025-01-07 22:00:00,FPO_Surat,Tomato,30.61,70.93,1260,37.73,12,500,500.0,100.0,HIGH,46.67,1.8,58800.76,SELL NOW
2025-01-07 23:00:00,FPO_Karnal,Mango,23.24,39.12,292,54.83,2,500,237.99,47.6,LOW,63.07,4.3,18416.08,STORE
2025-01-08 00:00:00,FPO_Karnal,Mango,31.01,71.47,274,55.75,6,1500,318.48,21.23,LOW,53.63,3.76,14693.94,SELL NOW
2025-01-08 01:00:00,FPO_Indore,Apple,24.02,61.8,955,99.02,8,1000,835.08,83.51,LOW,104.15,3.67,99467.07,SELL NOW
2025-01-08 02:00:00,FPO_Surat,Onion,28.38,81.37,382,29.44,8,2500,567.88,22.72,LOW,34.74,4.72,13271.76,STORE
2025-01-08 03:00:00,FPO_Lucknow,Tomato,26.16,54.88,916,31.01,7,2000,787.21,39.36,LOW,42.85,2.06,39249.0,STORE
2025-01-08 04:00:00,FPO_Jaipur,Onion,33.4,76.71,658,26.63,7,500,500.0,100.0,HIGH,33.6,2.1,22106.92,SELL NOW
2025-01-08 05:00:00,FPO_Nagpur,Potato,31.24,47.49,1922,12.06,8,1500,1422.43,94.83,LOW,11.92,2.16,22913.67,SELL NOW
2025-01-08 06:00:00,FPO_Surat,Onion,27.82,66.59,1901,28.84,5,2000,1360.85,68.04,LOW,29.93,2.98,56904.6,SELL NOW
2025-01-08 07:00:00,FPO_Indore,Mango,23.89,34.43,826,59.18,3,500,397.58,79.52,LOW,49.47,4.56,40859.89,SELL NOW
